985300,237700,
901400,221600,
841000,232000,
831000,112000,
812800,230200,
809700,233300,
798500,224500,
796300,86700,
795700,217300,
771000,172000,
767300,95700,
752900,190100,
735100,217900,
726000,87000,
723900,229100,
722100,220900,
721300,161700,
713900,219100,
708400,204600,
703100,129900,
700900,82100,
694500,88500,
692900,90100,
689800,173200,
688500,234500,
680800,122200,
680500,232500,
671700,141300,
669800,93200,
661700,101300,
659000,234000,
656100,226900,
647900,185200,
646100,227000,
636000,147000,
633500,169500,
625000,118000,
624600,138400,
619800,83200,
619200,233800,
617900,115100,
615700,67300,
615100,97900,
611600,221400,
609000,214000,
607300,155700,
604600,238700,
603700,179300,
600000,233000,
597100,175900,
596200,226800,
593800,219200,
591700,91300,
591400,241600,
589900,223100,
589700,233300,
583700,69300,
583000,220000,
580500,232500,
578500,234500,
566400,166600,
564700,88300,
561200,201800,
561000,222000,
561000,92000,
559100,203900,
559100,83900,
556800,146200,
556800,236200,
555000,98000,
552300,80700,
551200,111800,
550200,222800,
548900,164100,
546600,226400,
546600,216400,
545400,97600,
542500,180500,
541500,101500,
541300,111700,
541100,71900,
540000,93000,
536200,66800,
535000,118000,
533500,209500,
530600,92400,
526900,86100,
523800,99200,
523000,180000,
522700,100300,
518800,114200,
518400,164600,
518200,134800,
514000,129000,
513700,199300,
513300,219700,
511600,221400,
506500,116500,
503300,69700,
502800,100200,
